dataset,query_size,batch_size,num_queries,total_time_s,per_query_time_s,host_to_gpu_s,device_to_cpu_s,errors
glove.840B.300d.txt,tiny,16,10,0.054048,0.005405,1.381803,0.000401,0
glove.840B.300d.txt,small,16,100,0.067009,0.000670,1.402617,0.000209,0
glove.840B.300d.txt,medium,16,1000,0.207420,0.000207,1.391586,0.000176,0
glove.840B.300d.txt,big,16,10000,1.358127,0.000136,1.392315,0.000241,0
glove.840B.300d.txt,tiny,32,10,0.053020,0.005302,1.406197,0.000398,0
glove.840B.300d.txt,small,32,100,0.066718,0.000667,1.373088,0.000234,0
glove.840B.300d.txt,medium,32,1000,0.208434,0.000208,1.374594,0.000160,0
glove.840B.300d.txt,big,32,10000,1.354181,0.000135,1.400868,0.000282,0
glove.840B.300d.txt,tiny,64,10,0.054058,0.005406,1.392753,0.000419,0
glove.840B.300d.txt,small,64,100,0.067132,0.000671,1.381179,0.000256,0
glove.840B.300d.txt,medium,64,1000,0.208318,0.000208,1.388969,0.000196,0
glove.840B.300d.txt,big,64,10000,1.354226,0.000135,1.396518,0.000199,0
glove.840B.300d.txt,tiny,128,10,0.054000,0.005400,1.386001,0.000408,0
glove.840B.300d.txt,small,128,100,0.067162,0.000672,1.378590,0.000192,0
glove.840B.300d.txt,medium,128,1000,0.208024,0.000208,1.380701,0.000166,0
glove.840B.300d.txt,big,128,10000,1.356551,0.000136,1.387703,0.000161,0
glove.840B.300d.txt,tiny,256,10,0.053783,0.005378,1.387141,0.000396,0
glove.840B.300d.txt,small,256,100,0.067039,0.000670,1.385904,0.000244,0
glove.840B.300d.txt,medium,256,1000,0.205623,0.000206,1.379682,0.000171,0
glove.840B.300d.txt,big,256,10000,1.354791,0.000135,1.378647,0.000194,0
glove.840B.300d.txt,tiny,512,10,0.053574,0.005357,1.380795,0.000378,0
glove.840B.300d.txt,small,512,100,0.066881,0.000669,1.384897,0.000222,0
glove.840B.300d.txt,medium,512,1000,0.207365,0.000207,1.376867,0.000166,0
glove.840B.300d.txt,big,512,10000,1.355224,0.000136,1.399701,0.000198,0
