dataset,query_size,batch_size,num_queries,total_time_s,per_query_time_s,host_to_gpu_s,device_to_cpu_s,errors
glove.6B.50d.txt,tiny,16,10,0.048319,0.004832,0.053170,0.000432,0
glove.6B.50d.txt,small,16,100,0.048577,0.000486,0.052710,0.000361,0
glove.6B.50d.txt,medium,16,1000,0.057247,0.000057,0.073444,0.000506,0
glove.6B.50d.txt,big,16,10000,0.093920,0.000009,0.045370,0.000183,0
glove.6B.50d.txt,tiny,32,10,0.048049,0.004805,0.053636,0.000423,0
glove.6B.50d.txt,small,32,100,0.048620,0.000486,0.051903,0.000393,0
glove.6B.50d.txt,medium,32,1000,0.053184,0.000053,0.052773,0.000363,0
glove.6B.50d.txt,big,32,10000,0.094194,0.000009,0.053401,0.000198,0
glove.6B.50d.txt,tiny,64,10,0.047952,0.004795,0.054117,0.000454,0
glove.6B.50d.txt,small,64,100,0.047927,0.000479,0.052567,0.000375,0
glove.6B.50d.txt,medium,64,1000,0.053569,0.000054,0.053228,0.000367,0
glove.6B.50d.txt,big,64,10000,0.094142,0.000009,0.053340,0.000216,0
glove.6B.50d.txt,tiny,128,10,0.048598,0.004860,0.053368,0.000410,0
glove.6B.50d.txt,small,128,100,0.048205,0.000482,0.054432,0.000400,0
glove.6B.50d.txt,medium,128,1000,0.053661,0.000054,0.052857,0.000410,0
glove.6B.50d.txt,big,128,10000,0.094887,0.000009,0.054450,0.000268,0
glove.6B.50d.txt,tiny,256,10,0.047956,0.004796,0.052457,0.000413,0
glove.6B.50d.txt,small,256,100,0.048555,0.000486,0.053216,0.000392,0
glove.6B.50d.txt,medium,256,1000,0.054112,0.000054,0.054315,0.000472,0
glove.6B.50d.txt,big,256,10000,0.094800,0.000009,0.053348,0.000217,0
glove.6B.50d.txt,tiny,512,10,0.047969,0.004797,0.053765,0.000399,0
glove.6B.50d.txt,small,512,100,0.048476,0.000485,0.053455,0.000456,0
glove.6B.50d.txt,medium,512,1000,0.053813,0.000054,0.053493,0.000381,0
glove.6B.50d.txt,big,512,10000,0.094096,0.000009,0.051992,0.000219,0
