dataset,query_size,batch_size,num_queries,total_time_s,per_query_time_s,host_to_gpu_s,device_to_cpu_s,errors
pubs.csv,tiny,16,10,2.350523,0.235052,0.001363,0.000088,1
pubs.csv,small,16,100,2.352278,0.023523,0.001384,0.000079,18
pubs.csv,medium,16,1000,2.369184,0.002369,0.001369,0.000073,143
pubs.csv,big,16,10000,2.685282,0.000269,0.001411,0.000079,1648
pubs.csv,tiny,32,10,2.790166,0.279017,0.002220,0.000087,1
pubs.csv,small,32,100,2.715335,0.027153,0.001938,0.000189,18
pubs.csv,medium,32,1000,2.299177,0.002299,0.001665,0.000166,143
pubs.csv,big,32,10000,2.331422,0.000233,0.001443,0.000212,1648
pubs.csv,tiny,64,10,2.354054,0.235405,0.001557,0.000095,1
pubs.csv,small,64,100,2.417733,0.024177,0.001390,0.000113,18
pubs.csv,medium,64,1000,2.358699,0.002359,0.001391,0.000076,143
pubs.csv,big,64,10000,2.401490,0.000240,0.001404,0.000184,1648
pubs.csv,tiny,128,10,2.570784,0.257078,0.001360,0.000090,1
pubs.csv,small,128,100,2.396953,0.023970,0.001435,0.000086,18
pubs.csv,medium,128,1000,2.641362,0.002641,0.001994,0.000071,143
pubs.csv,big,128,10000,2.427770,0.000243,0.001375,0.000282,1648
pubs.csv,tiny,256,10,2.363971,0.236397,0.001698,0.000094,1
pubs.csv,small,256,100,2.454309,0.024543,0.001379,0.000107,18
pubs.csv,medium,256,1000,2.351135,0.002351,0.001387,0.000080,143
pubs.csv,big,256,10000,2.369158,0.000237,0.001596,0.000314,1648
pubs.csv,tiny,512,10,2.744510,0.274451,0.001853,0.000134,1
pubs.csv,small,512,100,2.378778,0.023788,0.001368,0.000081,18
pubs.csv,medium,512,1000,2.345278,0.002345,0.001395,0.000079,143
pubs.csv,big,512,10000,2.357207,0.000236,0.001426,0.000095,1648
