dataset,query_size,batch_size,num_queries,total_time_s,per_query_time_s,host_to_gpu_s,device_to_cpu_s,errors
pubs.csv,tiny,16,10,1.605718,0.160572,0.001784,0.000103,0
pubs.csv,small,16,100,1.602629,0.016026,0.001968,0.000093,0
pubs.csv,medium,16,1000,1.622996,0.001623,0.001922,0.000097,0
pubs.csv,big,16,10000,1.885274,0.000189,0.001856,0.000113,0
pubs.csv,tiny,32,10,1.595953,0.159595,0.001903,0.000112,0
pubs.csv,small,32,100,1.582702,0.015827,0.002169,0.000087,0
pubs.csv,medium,32,1000,1.734779,0.001735,0.001950,0.000094,0
pubs.csv,big,32,10000,1.876915,0.000188,0.001879,0.000113,0
pubs.csv,tiny,64,10,1.600457,0.160046,0.001851,0.000110,0
pubs.csv,small,64,100,1.608247,0.016082,0.001877,0.000100,0
pubs.csv,medium,64,1000,1.610600,0.001611,0.001918,0.000094,0
pubs.csv,big,64,10000,1.849099,0.000185,0.001917,0.000113,0
pubs.csv,tiny,128,10,1.598423,0.159842,0.001824,0.000111,0
pubs.csv,small,128,100,1.585746,0.015857,0.001867,0.000095,0
pubs.csv,medium,128,1000,1.628553,0.001629,0.001840,0.000095,0
pubs.csv,big,128,10000,1.854284,0.000185,0.001847,0.000125,0
pubs.csv,tiny,256,10,1.587336,0.158734,0.001697,0.000087,0
pubs.csv,small,256,100,1.564169,0.015642,0.001352,0.000060,0
pubs.csv,medium,256,1000,1.568473,0.001568,0.001323,0.000068,0
pubs.csv,big,256,10000,1.805136,0.000181,0.001344,0.000079,0
pubs.csv,tiny,512,10,1.550104,0.155010,0.001379,0.000071,0
pubs.csv,small,512,100,1.543560,0.015436,0.001374,0.000062,0
pubs.csv,medium,512,1000,1.579620,0.001580,0.001405,0.000068,0
pubs.csv,big,512,10000,1.808435,0.000181,0.001391,0.000075,0
