dataset,query_size,batch_size,num_queries,total_time_s,per_query_time_s,host_to_gpu_s,device_to_cpu_s,errors
glove.6B.50d.txt,tiny,16,10,1.865664,0.186566,0.071344,0.000142,0
glove.6B.50d.txt,small,16,100,1.644445,0.016444,0.071751,0.000078,0
glove.6B.50d.txt,medium,16,1000,2.020878,0.002021,0.052185,0.000226,0
glove.6B.50d.txt,big,16,10000,6.293121,0.000629,0.052481,0.000238,0
glove.6B.50d.txt,tiny,32,10,1.548497,0.154850,0.052173,0.000102,0
glove.6B.50d.txt,small,32,100,1.606033,0.016060,0.051972,0.000066,0
glove.6B.50d.txt,medium,32,1000,2.011521,0.002012,0.052180,0.000124,0
glove.6B.50d.txt,big,32,10000,6.178267,0.000618,0.052639,0.000198,0
glove.6B.50d.txt,tiny,64,10,1.561135,0.156113,0.052133,0.000102,0
glove.6B.50d.txt,small,64,100,1.582392,0.015824,0.053040,0.000077,0
glove.6B.50d.txt,medium,64,1000,2.096076,0.002096,0.052558,0.000214,0
glove.6B.50d.txt,big,64,10000,6.113975,0.000611,0.052613,0.000158,0
glove.6B.50d.txt,tiny,128,10,1.582424,0.158242,0.052068,0.000111,0
glove.6B.50d.txt,small,128,100,1.576025,0.015760,0.051978,0.000099,0
glove.6B.50d.txt,medium,128,1000,1.979439,0.001979,0.052244,0.000128,0
glove.6B.50d.txt,big,128,10000,6.181589,0.000618,0.052558,0.000159,0
glove.6B.50d.txt,tiny,256,10,1.559083,0.155908,0.052726,0.000097,0
glove.6B.50d.txt,small,256,100,1.577631,0.015776,0.052393,0.000069,0
glove.6B.50d.txt,medium,256,N/A,N/A,N/A,N/A,N/A,N/A
glove.6B.50d.txt,big,256,N/A,N/A,N/A,N/A,N/A,N/A
glove.6B.50d.txt,tiny,512,10,1.661098,0.166110,0.051937,0.000075,0
glove.6B.50d.txt,small,512,100,1.568629,0.015686,0.052139,0.000069,0
glove.6B.50d.txt,medium,512,N/A,N/A,N/A,N/A,N/A,N/A
glove.6B.50d.txt,big,512,N/A,N/A,N/A,N/A,N/A,N/A
