num_workers,total_time,print_time,comp_time,reading_time
1,354.865789,0.000245,352.802973,2.062571
2,178.583057,0.000242,176.522904,2.059911
4,102.780293,0.000249,100.702024,2.07802
8,68.333867,0.000206,66.536446,1.797215
16,45.049412,0.000215,43.27526,1.773938
32,38.171185,0.000217,36.295599,1.875369
64,34.707891,0.000209,32.904856,1.802826
