num_workers,total_time,print_time,comp_time,reading_time
1,333.065635,0.000224,331.200723,1.864688
2,180.650434,0.000223,178.770941,1.87927
4,108.68324,0.000215,106.811158,1.871866
8,70.577866,0.000236,68.693967,1.883663
16,50.526154,0.00022,48.69731,1.828624
32,41.787243,0.000215,40.031075,1.755953
64,36.963329,0.000207,35.185476,1.777645
