num_workers,total_time,print_time,comp_time,reading_time
1,358.873162,0.000281,357.120231,1.752649
2,205.412982,0.000214,203.4404,1.972368
4,106.354369,0.000117,104.318764,2.035488
8,77.837964,7.9e-05,75.829412,2.008474
16,56.086777,0.000243,54.031991,2.054543
32,47.955455,0.000142,46.052711,1.902602
64,43.755966,0.000144,41.876808,1.879014
